fd,mu_plus,rfi_prime_plus,g3,g3_prime,mu_plus_is_key,rfi_prime_plus_rfi
['voter_id']->voter_reg_num,1.0,1.0,1.0,1.0,False,0.00020072653336455915
['voter_id']->last_name,1.0,1.0,1.0,1.0,False,0.00022067359236299655
['voter_id']->first_name,1.0,1.0,1.0,1.0,False,0.00024164030249462787
['voter_id']->register_date,1.0,1.0,1.0,1.0,False,0.0003121469830604795
['voter_id']->zip_code,1.0,1.0,1.0,1.0,False,0.0002856756849223263
['voter_id']->city,1.0,1.0,1.0,1.0,False,0.0003013719306523832
['voter_id']->age,1.0,1.0,1.0,1.0,False,0.00038632635205537724
['voter_id']->birth_place,0.0,1.0,1.0,1.0,False,0.0005734161091399681
['voter_id']->race,1.0,1.0,1.0,1.0,False,0.000642508304779299
['voter_id']->name_suffix,0.0,1.0,1.0,1.0,False,0.00036333627455242823
['voter_id']->gender,1.0,1.0,1.0,1.0,False,0.0009682165175473045
['voter_id']->ethnic,1.0,1.0,1.0,1.0,False,0.0006468940427514225
['voter_id']->name_prefix,0.0,1.0,1.0,1.0,False,0.00037382201746860577
"['street_address', 'voter_id']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['street_address', 'voter_id']->full_phone_num",1.0,1.0,1.0,1.0,True,6.7231775702225605e-12
"['street_address', 'voter_id']->download_month",1.0,1.0,1.0,1.0,True,-3.5083047578154947e-14
"['middle_name', 'voter_id']->street_address",1.0,1.0,1.0,1.0,True,0.14899999999248625
"['middle_name', 'voter_id']->full_phone_num",1.0,1.0,1.0,1.0,True,0.1490000000040791
"['middle_name', 'voter_id']->download_month",1.0,1.0,1.0,1.0,True,0.1489999999999736
"['full_phone_num', 'voter_id']->street_address",1.0,1.0,1.0,1.0,True,0.6120000000030494
"['full_phone_num', 'voter_id']->middle_name",1.0,1.0,1.0,1.0,True,0.6120000000006709
"['full_phone_num', 'voter_id']->download_month",1.0,1.0,1.0,1.0,True,0.611999999999997
"['download_month', 'voter_id']->street_address",1.0,1.0,1.0,1.0,True,-1.1158629575902523e-11
"['download_month', 'voter_id']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['download_month', 'voter_id']->full_phone_num",1.0,1.0,1.0,1.0,True,6.7231775702225605e-12
['voter_reg_num']->voter_id,1.0,1.0,1.0,1.0,False,0.00020072653336455915
['voter_reg_num']->last_name,1.0,1.0,1.0,1.0,False,0.00022067359236299655
['voter_reg_num']->first_name,1.0,1.0,1.0,1.0,False,0.00024164030249462787
['voter_reg_num']->register_date,1.0,1.0,1.0,1.0,False,0.0003121469830604795
['voter_reg_num']->zip_code,1.0,1.0,1.0,1.0,False,0.0002856756849223263
['voter_reg_num']->city,1.0,1.0,1.0,1.0,False,0.0003013719306523832
['voter_reg_num']->age,1.0,1.0,1.0,1.0,False,0.00038632635205537724
['voter_reg_num']->birth_place,0.0,1.0,1.0,1.0,False,0.0005734161091399681
['voter_reg_num']->race,1.0,1.0,1.0,1.0,False,0.000642508304779299
['voter_reg_num']->name_suffix,0.0,1.0,1.0,1.0,False,0.00036333627455242823
['voter_reg_num']->gender,1.0,1.0,1.0,1.0,False,0.0009682165175473045
['voter_reg_num']->ethnic,1.0,1.0,1.0,1.0,False,0.0006468940427514225
['voter_reg_num']->name_prefix,0.0,1.0,1.0,1.0,False,0.00037382201746860577
"['street_address', 'voter_reg_num']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['street_address', 'voter_reg_num']->full_phone_num",1.0,1.0,1.0,1.0,True,6.7231775702225605e-12
"['street_address', 'voter_reg_num']->download_month",1.0,1.0,1.0,1.0,True,-3.5083047578154947e-14
"['middle_name', 'voter_reg_num']->street_address",1.0,1.0,1.0,1.0,True,0.14899999999248625
"['middle_name', 'voter_reg_num']->full_phone_num",1.0,1.0,1.0,1.0,True,0.1490000000040791
"['middle_name', 'voter_reg_num']->download_month",1.0,1.0,1.0,1.0,True,0.1489999999999736
"['full_phone_num', 'voter_reg_num']->street_address",1.0,1.0,1.0,1.0,True,0.6120000000030494
"['full_phone_num', 'voter_reg_num']->middle_name",1.0,1.0,1.0,1.0,True,0.6120000000006709
"['full_phone_num', 'voter_reg_num']->download_month",1.0,1.0,1.0,1.0,True,0.611999999999997
"['download_month', 'voter_reg_num']->street_address",1.0,1.0,1.0,1.0,True,-1.1158629575902523e-11
"['download_month', 'voter_reg_num']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['download_month', 'voter_reg_num']->full_phone_num",1.0,1.0,1.0,1.0,True,6.7231775702225605e-12
['street_address']->zip_code,1.0,1.0,1.0,1.0,False,0.012382040589480336
['street_address']->city,1.0,1.0,1.0,1.0,False,0.013055109859034797
"['last_name', 'street_address']->race",1.0,1.0,1.0,1.0,False,0.01991775744744706
"['last_name', 'middle_name', 'street_address']->age",0.0,1.0,1.0,1.0,False,0.1493863263522146
"['last_name', 'middle_name', 'register_date', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,0.14899999999200264
"['last_name', 'middle_name', 'register_date', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,0.14899999999200264
"['gender', 'last_name', 'middle_name', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,0.14899999999200264
"['gender', 'last_name', 'middle_name', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,0.14899999999200264
"['gender', 'last_name', 'middle_name', 'street_address']->first_name",1.0,1.0,1.0,1.0,True,0.14899999999877378
"['last_name', 'middle_name', 'name_prefix', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,0.9729999999999989
"['last_name', 'middle_name', 'name_prefix', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,0.9729999999999989
"['last_name', 'middle_name', 'name_prefix', 'street_address']->first_name",1.0,1.0,1.0,1.0,True,0.972999999999997
"['gender', 'last_name', 'register_date', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,-1.1782130826532011e-11
"['gender', 'last_name', 'register_date', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,-1.1782130826532011e-11
"['gender', 'last_name', 'register_date', 'street_address']->first_name",1.0,1.0,1.0,1.0,True,-2.6489921367556235e-12
"['gender', 'last_name', 'register_date', 'street_address']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['gender', 'last_name', 'register_date', 'street_address']->age",1.0,1.0,1.0,1.0,True,3.3306690738754696e-13
"['age', 'last_name', 'street_address']->full_phone_num",0.0,1.0,1.0,1.0,False,0.0017296555915334855
"['age', 'gender', 'last_name', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,-1.1782130826532011e-11
"['age', 'gender', 'last_name', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,-1.1782130826532011e-11
"['age', 'gender', 'last_name', 'street_address']->first_name",1.0,1.0,1.0,1.0,True,-2.6489921367556235e-12
"['age', 'gender', 'last_name', 'street_address']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['age', 'gender', 'last_name', 'street_address']->register_date",1.0,1.0,1.0,1.0,True,-9.463541061904834e-13
"['gender', 'last_name', 'street_address']->full_phone_num",0.0,1.0,1.0,1.0,False,0.00021620695482604813
"['gender', 'last_name', 'street_address']->birth_place",0.0,1.0,1.0,1.0,False,0.0005734161091399681
"['gender', 'last_name', 'street_address']->download_month",1.0,1.0,1.0,1.0,False,0.0009383645935336915
"['gender', 'last_name', 'street_address']->ethnic",1.0,1.0,1.0,1.0,False,0.0006468940427514225
"['first_name', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,-1.1782130826532011e-11
"['first_name', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,-1.1782130826532011e-11
"['first_name', 'street_address']->last_name",1.0,1.0,1.0,1.0,True,-5.84976511674995e-12
"['first_name', 'street_address']->middle_name",1.0,1.0,1.0,1.0,True,-2.2730706206175455e-12
"['first_name', 'street_address']->full_phone_num",1.0,1.0,1.0,1.0,True,6.7231775702225605e-12
"['first_name', 'street_address']->register_date",1.0,1.0,1.0,1.0,True,-9.463541061904834e-13
"['first_name', 'street_address']->age",1.0,1.0,1.0,1.0,True,3.3306690738754696e-13
"['first_name', 'street_address']->birth_place",1.0,1.0,1.0,1.0,True,1.6542323066914832e-14
"['first_name', 'street_address']->download_month",1.0,1.0,1.0,1.0,True,-3.5083047578154947e-14
"['first_name', 'street_address']->race",1.0,1.0,1.0,1.0,True,2.3647750424515834e-14
"['first_name', 'street_address']->name_suffix",1.0,1.0,1.0,1.0,True,-3.552713678800501e-15
"['first_name', 'street_address']->gender",1.0,1.0,1.0,1.0,True,2.5868196473766147e-14
"['first_name', 'street_address']->ethnic",1.0,1.0,1.0,1.0,True,-1.2212453270876722e-14
"['first_name', 'street_address']->name_prefix",1.0,1.0,1.0,1.0,True,2.0317081350640365e-14
"['middle_name', 'street_address']->full_phone_num",0.0,1.0,1.0,1.0,False,0.14921620695218196
"['middle_name', 'street_address']->birth_place",0.0,1.0,1.0,1.0,False,0.1495734161091451
"['middle_name', 'street_address']->download_month",0.0,1.0,1.0,1.0,False,0.14993836459354226
"['middle_name', 'street_address']->race",0.0,1.0,1.0,1.0,False,0.1496425083047751
"['middle_name', 'street_address']->name_suffix",0.0,1.0,1.0,1.0,False,0.14936333627455622
"['middle_name', 'street_address']->ethnic",0.0,1.0,1.0,1.0,False,0.14964689404277043
"['middle_name', 'register_date', 'street_address']->gender",0.0,1.0,1.0,1.0,False,0.1490000000000179
"['middle_name', 'register_date', 'street_address']->name_prefix",0.0,1.0,1.0,1.0,False,0.14900000000001423
"['age', 'middle_name', 'register_date', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,0.14899999999200264
"['age', 'middle_name', 'register_date', 'street_address']->voter_reg_num",1.0,1.0,1.0,1.0,True,0.14899999999200264
"['age', 'middle_name', 'register_date', 'street_address']->first_name",1.0,1.0,1.0,1.0,True,0.14899999999877378
"['age', 'middle_name', 'street_address']->last_name",0.0,1.0,1.0,1.0,False,0.14922067359495517
"['age', 'gender', 'middle_name', 'street_address']->voter_id",1.0,1.0,1.0,1.0,True,0.14899999999200264
